Well,Sample_ID,Apiary_ID,Content,Cq,SQ,Melt Temp
A01,KC_Domes_091120_F1,KC_Domes,Unkn,,,None
A10,KC_Domes_091120_F10,KC_Domes,Unkn,,,None
A11,KC_Domes_091120_F11,KC_Domes,Unkn,,,None
A12,KC_Domes_091120_F12,KC_Domes,Unkn,,,None
B01,KC_Domes_091120_F13,KC_Domes,Unkn,,,None
B02,KC_Domes_091120_F14,KC_Domes,Unkn,,,None
B03,KC_Domes_091120_F15,KC_Domes,Unkn,,,None
A02,KC_Domes_091120_F2,KC_Domes,Unkn,,,None
A03,KC_Domes_091120_F3,KC_Domes,Unkn,,,None
A04,KC_Domes_091120_F4,KC_Domes,Unkn,,,None
A05,KC_Domes_091120_F5,KC_Domes,Unkn,,,None
A06,KC_Domes_091120_F6,KC_Domes,Unkn,,,None
A07,KC_Domes_091120_F7,KC_Domes,Unkn,,,None
A08,KC_Domes_091120_F8,KC_Domes,Unkn,,,None
A09,KC_Domes_091120_F9,KC_Domes,Unkn,,,None
C01,KC_Domes_092120_F1,KC_Domes,Unkn,,,None
C10,KC_Domes_092120_F10,KC_Domes,Unkn,,,None
C11,KC_Domes_092120_F11,KC_Domes,Unkn,,,None
C12,KC_Domes_092120_F12,KC_Domes,Unkn,35.16169837,171.7769357,82
B05,KC_Domes_092120_F13,KC_Domes,Unkn,30.12294,2648.209344,82.5
B06,KC_Domes_092120_F14,KC_Domes,Unkn,31.70720421,1120.548166,82.5
B08,KC_Domes_092120_F15,KC_Domes,Unkn,30.28388469,2426.645869,82.5
C02,KC_Domes_092120_F2,KC_Domes,Unkn,25.17774101,38804.42866,82.5
C04,KC_Domes_092120_F3,KC_Domes,Unkn,,,None
C03,KC_Domes_092120_F4,KC_Domes,Unkn,,,None
C05,KC_Domes_092120_F5,KC_Domes,Unkn,32.38593039,775.1885312,82.5
C06,KC_Domes_092120_F6,KC_Domes,Unkn,,,None
C07,KC_Domes_092120_F7,KC_Domes,Unkn,37.11280462,59.55973585,None
C08,KC_Domes_092120_F8,KC_Domes,Unkn,34.22436454,285.7326952,82
C09,KC_Domes_092120_F9,KC_Domes,Unkn,35.37343892,153.1238385,82
F08,LT_cDNA control,LT_Grange,Neg Ctrl,38.15812031,13.81533546,None
D01,LT_Grange_090920_F1,LT_Grange,Unkn,34.77657026,66.21169047,82
D10,LT_Grange_090920_F10,LT_Grange,Unkn,,,None
D11,LT_Grange_090920_F11,LT_Grange,Unkn,36.07480882,36.27857593,82.5
D12,LT_Grange_090920_F12,LT_Grange,Unkn,35.73369995,42.49149912,82.5
E01,LT_Grange_090920_F13,LT_Grange,Unkn,33.50302288,119.4674939,82.5
E02,LT_Grange_090920_F14,LT_Grange,Unkn,36.08268766,36.14635681,82
E03,LT_Grange_090920_F15,LT_Grange,Unkn,29.47778531,771.5641071,82
D02,LT_Grange_090920_F2,LT_Grange,Unkn,,,None
D03,LT_Grange_090920_F3,LT_Grange,Unkn,,,None
D04,LT_Grange_090920_F4,LT_Grange,Unkn,,,None
D05,LT_Grange_090920_F5,LT_Grange,Unkn,,,None
D06,LT_Grange_090920_F6,LT_Grange,Unkn,35.7315121,42.53460276,82
D07,LT_Grange_090920_F7,LT_Grange,Unkn,,,None
D08,LT_Grange_090920_F8,LT_Grange,Unkn,36.15239916,34.9972841,82.5
D09,LT_Grange_090920_F9,LT_Grange,Unkn,31.4462128,309.8880695,82.5
F07,LT_Grange_092320_ Control1,LT_Grange,Neg Ctrl,,,None
E04,LT_Grange_092320_F1,LT_Grange,Unkn,37.50249355,18.72032383,None
F01,LT_Grange_092320_F10,LT_Grange,Unkn,32.14190394,224.4861482,82.5
F02,LT_Grange_092320_F11,LT_Grange,Unkn,,,None
F03,LT_Grange_092320_F12,LT_Grange,Unkn,,,None
F04,LT_Grange_092320_F13,LT_Grange,Unkn,38.59868078,11.26403297,None
F05,LT_Grange_092320_F14,LT_Grange,Unkn,31.64177113,283.0392369,82
F06,LT_Grange_092320_F15,LT_Grange,Unkn,,,None
E05,LT_Grange_092320_F2,LT_Grange,Unkn,,,None
E06,LT_Grange_092320_F3,LT_Grange,Unkn,,,None
E07,LT_Grange_092320_F4,LT_Grange,Unkn,35.95140366,38.41376226,82
E08,LT_Grange_092320_F5,LT_Grange,Unkn,34.68254966,69.16037354,82
E09,LT_Grange_092320_F6,LT_Grange,Unkn,,,None
E10,LT_Grange_092320_F7,LT_Grange,Unkn,34.21768051,85.78616133,83
E11,LT_Grange_092320_F8,LT_Grange,Unkn,35.87441825,39.80897393,82.5
E12,LT_Grange_092320_F9,LT_Grange,Unkn,,,None
A01,MM_Swede_091620_F1,MM_Swede,Unkn,34.66353614,21.09959606,82.5
C10,MM_Swede_091620_F10,MM_Swede,Unkn,39.14859341,1.667611781,None
C11,MM_Swede_091620_F11,MM_Swede,Unkn,39.85564124,1.117742275,None
C12,MM_Swede_091620_F12,MM_Swede,Unkn,35.61723753,12.30005493,None
C02,MM_Swede_091620_F2,MM_Swede,Unkn,,,None
